==PROF== Connected to process 15049 (/usr/bin/python3.12)
==PROF== Disconnected from process 15049
"ID","Process ID","Process Name","Host Name","Kernel Name","Context","Stream","Block Size","Grid Size","Device","CC","Section Name","Metric Name","Metric Unit","Metric Value"
"0","15049","python3.12","127.0.0.1","kernel_gemm_packed_int4_static","1","7","(128, 1, 1)","(112, 1, 1)","0","8.6","Command line profiler metrics","dram__bytes.sum","byte","12817792"
"0","15049","python3.12","127.0.0.1","kernel_gemm_packed_int4_static","1","7","(128, 1, 1)","(112, 1, 1)","0","8.6","Command line profiler metrics","dram__throughput.avg.pct_of_peak_sustained_elapsed","%","27.27"
"0","15049","python3.12","127.0.0.1","kernel_gemm_packed_int4_static","1","7","(128, 1, 1)","(112, 1, 1)","0","8.6","Command line profiler metrics","sm__cycles_elapsed.avg","cycle","106518.27"
"0","15049","python3.12","127.0.0.1","kernel_gemm_packed_int4_static","1","7","(128, 1, 1)","(112, 1, 1)","0","8.6","Command line profiler metrics","sm__throughput.avg.pct_of_peak_sustained_elapsed","%","22.65"
"0","15049","python3.12","127.0.0.1","kernel_gemm_packed_int4_static","1","7","(128, 1, 1)","(112, 1, 1)","0","8.6","Command line profiler metrics","sm__warps_active.avg.pct_of_peak_sustained_elapsed","%","4.86"
"1","15049","python3.12","127.0.0.1","kernel_gemm_packed_int4_static","1","7","(128, 1, 1)","(112, 1, 1)","0","8.6","Command line profiler metrics","dram__bytes.sum","byte","12803072"
"1","15049","python3.12","127.0.0.1","kernel_gemm_packed_int4_static","1","7","(128, 1, 1)","(112, 1, 1)","0","8.6","Command line profiler metrics","dram__throughput.avg.pct_of_peak_sustained_elapsed","%","26.53"
"1","15049","python3.12","127.0.0.1","kernel_gemm_packed_int4_static","1","7","(128, 1, 1)","(112, 1, 1)","0","8.6","Command line profiler metrics","sm__cycles_elapsed.avg","cycle","105150.05"
"1","15049","python3.12","127.0.0.1","kernel_gemm_packed_int4_static","1","7","(128, 1, 1)","(112, 1, 1)","0","8.6","Command line profiler metrics","sm__throughput.avg.pct_of_peak_sustained_elapsed","%","22.94"
"1","15049","python3.12","127.0.0.1","kernel_gemm_packed_int4_static","1","7","(128, 1, 1)","(112, 1, 1)","0","8.6","Command line profiler metrics","sm__warps_active.avg.pct_of_peak_sustained_elapsed","%","4.92"
"2","15049","python3.12","127.0.0.1","kernel_gemm_packed_int4_static","1","7","(128, 1, 1)","(112, 1, 1)","0","8.6","Command line profiler metrics","dram__bytes.sum","byte","12702848"
"2","15049","python3.12","127.0.0.1","kernel_gemm_packed_int4_static","1","7","(128, 1, 1)","(112, 1, 1)","0","8.6","Command line profiler metrics","dram__throughput.avg.pct_of_peak_sustained_elapsed","%","26.68"
"2","15049","python3.12","127.0.0.1","kernel_gemm_packed_int4_static","1","7","(128, 1, 1)","(112, 1, 1)","0","8.6","Command line profiler metrics","sm__cycles_elapsed.avg","cycle","104315.52"
"2","15049","python3.12","127.0.0.1","kernel_gemm_packed_int4_static","1","7","(128, 1, 1)","(112, 1, 1)","0","8.6","Command line profiler metrics","sm__throughput.avg.pct_of_peak_sustained_elapsed","%","23.12"
"2","15049","python3.12","127.0.0.1","kernel_gemm_packed_int4_static","1","7","(128, 1, 1)","(112, 1, 1)","0","8.6","Command line profiler metrics","sm__warps_active.avg.pct_of_peak_sustained_elapsed","%","4.97"
"3","15049","python3.12","127.0.0.1","kernel_gemm_packed_int4_static","1","7","(128, 1, 1)","(112, 1, 1)","0","8.6","Command line profiler metrics","dram__bytes.sum","byte","12744704"
"3","15049","python3.12","127.0.0.1","kernel_gemm_packed_int4_static","1","7","(128, 1, 1)","(112, 1, 1)","0","8.6","Command line profiler metrics","dram__throughput.avg.pct_of_peak_sustained_elapsed","%","26.64"
"3","15049","python3.12","127.0.0.1","kernel_gemm_packed_int4_static","1","7","(128, 1, 1)","(112, 1, 1)","0","8.6","Command line profiler metrics","sm__cycles_elapsed.avg","cycle","105619.25"
"3","15049","python3.12","127.0.0.1","kernel_gemm_packed_int4_static","1","7","(128, 1, 1)","(112, 1, 1)","0","8.6","Command line profiler metrics","sm__throughput.avg.pct_of_peak_sustained_elapsed","%","22.84"
"3","15049","python3.12","127.0.0.1","kernel_gemm_packed_int4_static","1","7","(128, 1, 1)","(112, 1, 1)","0","8.6","Command line profiler metrics","sm__warps_active.avg.pct_of_peak_sustained_elapsed","%","4.89"
"4","15049","python3.12","127.0.0.1","kernel_gemm_packed_int4_static","1","7","(128, 1, 1)","(112, 1, 1)","0","8.6","Command line profiler metrics","dram__bytes.sum","byte","12739200"
"4","15049","python3.12","127.0.0.1","kernel_gemm_packed_int4_static","1","7","(128, 1, 1)","(112, 1, 1)","0","8.6","Command line profiler metrics","dram__throughput.avg.pct_of_peak_sustained_elapsed","%","26.61"
"4","15049","python3.12","127.0.0.1","kernel_gemm_packed_int4_static","1","7","(128, 1, 1)","(112, 1, 1)","0","8.6","Command line profiler metrics","sm__cycles_elapsed.avg","cycle","105361.60"
"4","15049","python3.12","127.0.0.1","kernel_gemm_packed_int4_static","1","7","(128, 1, 1)","(112, 1, 1)","0","8.6","Command line profiler metrics","sm__throughput.avg.pct_of_peak_sustained_elapsed","%","22.89"
"4","15049","python3.12","127.0.0.1","kernel_gemm_packed_int4_static","1","7","(128, 1, 1)","(112, 1, 1)","0","8.6","Command line profiler metrics","sm__warps_active.avg.pct_of_peak_sustained_elapsed","%","4.94"
"5","15049","python3.12","127.0.0.1","kernel_gemm_packed_int4_static","1","7","(128, 1, 1)","(112, 1, 1)","0","8.6","Command line profiler metrics","dram__bytes.sum","byte","12914048"
"5","15049","python3.12","127.0.0.1","kernel_gemm_packed_int4_static","1","7","(128, 1, 1)","(112, 1, 1)","0","8.6","Command line profiler metrics","dram__throughput.avg.pct_of_peak_sustained_elapsed","%","27.30"
"5","15049","python3.12","127.0.0.1","kernel_gemm_packed_int4_static","1","7","(128, 1, 1)","(112, 1, 1)","0","8.6","Command line profiler metrics","sm__cycles_elapsed.avg","cycle","106683.50"
"5","15049","python3.12","127.0.0.1","kernel_gemm_packed_int4_static","1","7","(128, 1, 1)","(112, 1, 1)","0","8.6","Command line profiler metrics","sm__throughput.avg.pct_of_peak_sustained_elapsed","%","22.61"
"5","15049","python3.12","127.0.0.1","kernel_gemm_packed_int4_static","1","7","(128, 1, 1)","(112, 1, 1)","0","8.6","Command line profiler metrics","sm__warps_active.avg.pct_of_peak_sustained_elapsed","%","4.84"
"6","15049","python3.12","127.0.0.1","kernel_gemm_packed_int4_static","1","7","(128, 1, 1)","(112, 1, 1)","0","8.6","Command line profiler metrics","dram__bytes.sum","byte","12932608"
"6","15049","python3.12","127.0.0.1","kernel_gemm_packed_int4_static","1","7","(128, 1, 1)","(112, 1, 1)","0","8.6","Command line profiler metrics","dram__throughput.avg.pct_of_peak_sustained_elapsed","%","27.11"
"6","15049","python3.12","127.0.0.1","kernel_gemm_packed_int4_static","1","7","(128, 1, 1)","(112, 1, 1)","0","8.6","Command line profiler metrics","sm__cycles_elapsed.avg","cycle","105826.65"
"6","15049","python3.12","127.0.0.1","kernel_gemm_packed_int4_static","1","7","(128, 1, 1)","(112, 1, 1)","0","8.6","Command line profiler metrics","sm__throughput.avg.pct_of_peak_sustained_elapsed","%","22.79"
"6","15049","python3.12","127.0.0.1","kernel_gemm_packed_int4_static","1","7","(128, 1, 1)","(112, 1, 1)","0","8.6","Command line profiler metrics","sm__warps_active.avg.pct_of_peak_sustained_elapsed","%","4.88"
