==PROF== Connected to process 15439 (/usr/bin/python3.12)
==PROF== Disconnected from process 15439
"ID","Process ID","Process Name","Host Name","Kernel Name","Context","Stream","Block Size","Grid Size","Device","CC","Section Name","Metric Name","Metric Unit","Metric Value"
"0","15439","python3.12","127.0.0.1","kernel_gemm_packed_int4_static","1","7","(128, 1, 1)","(112, 1, 1)","0","8.6","Command line profiler metrics","dram__throughput.avg.pct_of_peak_sustained_elapsed","%","26.90"
"0","15439","python3.12","127.0.0.1","kernel_gemm_packed_int4_static","1","7","(128, 1, 1)","(112, 1, 1)","0","8.6","Command line profiler metrics","sm__throughput.avg.pct_of_peak_sustained_elapsed","%","22.96"
"0","15439","python3.12","127.0.0.1","kernel_gemm_packed_int4_static","1","7","(128, 1, 1)","(112, 1, 1)","0","8.6","Command line profiler metrics","sm__warps_active.avg.pct_of_peak_sustained_elapsed","%","4.92"
"0","15439","python3.12","127.0.0.1","kernel_gemm_packed_int4_static","1","7","(128, 1, 1)","(112, 1, 1)","0","8.6","Command line profiler metrics","smsp__inst_executed.sum","inst","5869920"
"0","15439","python3.12","127.0.0.1","kernel_gemm_packed_int4_static","1","7","(128, 1, 1)","(112, 1, 1)","0","8.6","Command line profiler metrics","smsp__inst_executed_pipe_tensor.sum","inst","229376"
"1","15439","python3.12","127.0.0.1","kernel_gemm_packed_int4_static","1","7","(128, 1, 1)","(112, 1, 1)","0","8.6","Command line profiler metrics","dram__throughput.avg.pct_of_peak_sustained_elapsed","%","27.08"
"1","15439","python3.12","127.0.0.1","kernel_gemm_packed_int4_static","1","7","(128, 1, 1)","(112, 1, 1)","0","8.6","Command line profiler metrics","sm__throughput.avg.pct_of_peak_sustained_elapsed","%","22.88"
"1","15439","python3.12","127.0.0.1","kernel_gemm_packed_int4_static","1","7","(128, 1, 1)","(112, 1, 1)","0","8.6","Command line profiler metrics","sm__warps_active.avg.pct_of_peak_sustained_elapsed","%","4.92"
"1","15439","python3.12","127.0.0.1","kernel_gemm_packed_int4_static","1","7","(128, 1, 1)","(112, 1, 1)","0","8.6","Command line profiler metrics","smsp__inst_executed.sum","inst","5869920"
"1","15439","python3.12","127.0.0.1","kernel_gemm_packed_int4_static","1","7","(128, 1, 1)","(112, 1, 1)","0","8.6","Command line profiler metrics","smsp__inst_executed_pipe_tensor.sum","inst","229376"
"2","15439","python3.12","127.0.0.1","kernel_gemm_packed_int4_static","1","7","(128, 1, 1)","(112, 1, 1)","0","8.6","Command line profiler metrics","dram__throughput.avg.pct_of_peak_sustained_elapsed","%","26.34"
"2","15439","python3.12","127.0.0.1","kernel_gemm_packed_int4_static","1","7","(128, 1, 1)","(112, 1, 1)","0","8.6","Command line profiler metrics","sm__throughput.avg.pct_of_peak_sustained_elapsed","%","22.87"
"2","15439","python3.12","127.0.0.1","kernel_gemm_packed_int4_static","1","7","(128, 1, 1)","(112, 1, 1)","0","8.6","Command line profiler metrics","sm__warps_active.avg.pct_of_peak_sustained_elapsed","%","4.91"
"2","15439","python3.12","127.0.0.1","kernel_gemm_packed_int4_static","1","7","(128, 1, 1)","(112, 1, 1)","0","8.6","Command line profiler metrics","smsp__inst_executed.sum","inst","5869920"
"2","15439","python3.12","127.0.0.1","kernel_gemm_packed_int4_static","1","7","(128, 1, 1)","(112, 1, 1)","0","8.6","Command line profiler metrics","smsp__inst_executed_pipe_tensor.sum","inst","229376"
"3","15439","python3.12","127.0.0.1","kernel_gemm_packed_int4_static","1","7","(128, 1, 1)","(112, 1, 1)","0","8.6","Command line profiler metrics","dram__throughput.avg.pct_of_peak_sustained_elapsed","%","27.17"
"3","15439","python3.12","127.0.0.1","kernel_gemm_packed_int4_static","1","7","(128, 1, 1)","(112, 1, 1)","0","8.6","Command line profiler metrics","sm__throughput.avg.pct_of_peak_sustained_elapsed","%","22.86"
"3","15439","python3.12","127.0.0.1","kernel_gemm_packed_int4_static","1","7","(128, 1, 1)","(112, 1, 1)","0","8.6","Command line profiler metrics","sm__warps_active.avg.pct_of_peak_sustained_elapsed","%","4.90"
"3","15439","python3.12","127.0.0.1","kernel_gemm_packed_int4_static","1","7","(128, 1, 1)","(112, 1, 1)","0","8.6","Command line profiler metrics","smsp__inst_executed.sum","inst","5869920"
"3","15439","python3.12","127.0.0.1","kernel_gemm_packed_int4_static","1","7","(128, 1, 1)","(112, 1, 1)","0","8.6","Command line profiler metrics","smsp__inst_executed_pipe_tensor.sum","inst","229376"
"4","15439","python3.12","127.0.0.1","kernel_gemm_packed_int4_static","1","7","(128, 1, 1)","(112, 1, 1)","0","8.6","Command line profiler metrics","dram__throughput.avg.pct_of_peak_sustained_elapsed","%","27.22"
"4","15439","python3.12","127.0.0.1","kernel_gemm_packed_int4_static","1","7","(128, 1, 1)","(112, 1, 1)","0","8.6","Command line profiler metrics","sm__throughput.avg.pct_of_peak_sustained_elapsed","%","22.96"
"4","15439","python3.12","127.0.0.1","kernel_gemm_packed_int4_static","1","7","(128, 1, 1)","(112, 1, 1)","0","8.6","Command line profiler metrics","sm__warps_active.avg.pct_of_peak_sustained_elapsed","%","4.91"
"4","15439","python3.12","127.0.0.1","kernel_gemm_packed_int4_static","1","7","(128, 1, 1)","(112, 1, 1)","0","8.6","Command line profiler metrics","smsp__inst_executed.sum","inst","5869920"
"4","15439","python3.12","127.0.0.1","kernel_gemm_packed_int4_static","1","7","(128, 1, 1)","(112, 1, 1)","0","8.6","Command line profiler metrics","smsp__inst_executed_pipe_tensor.sum","inst","229376"
