M,K,N,group_size,ref_ms,fp16_ms,triton_ms,speedup,speedup_fp16,max_abs_diff_fp16,max_abs_diff_dequant,best_config
1,4096,4096,per_tensor,0.611305,0.072956,0.049376,12.380493,1.477547,,,
2,4096,4096,per_tensor,0.620294,0.075746,0.047112,13.166498,1.607794,,,
4,4096,4096,per_tensor,0.614023,0.076008,0.050569,12.142386,1.503065,,,
8,4096,4096,per_tensor,0.625753,0.076842,0.047660,13.129565,1.612306,,,
16,4096,4096,per_tensor,0.630116,0.077367,0.053358,11.809205,1.449955,,,"BLOCK_K=128,BLOCK_M=8,BLOCK_N=64,GROUP_SIZE_M=4,num_warps=4,num_stages=4"
32,4096,4096,per_tensor,0.624752,0.075269,0.053763,11.620399,1.400000,,,"BLOCK_K=128,BLOCK_M=8,BLOCK_N=64,GROUP_SIZE_M=4,num_warps=4,num_stages=4"
64,4096,4096,per_tensor,0.630569,0.076580,0.054264,11.620387,1.411248,,,"BLOCK_K=128,BLOCK_M=16,BLOCK_N=64,GROUP_SIZE_M=4,num_warps=4,num_stages=4"
128,4096,4096,per_tensor,0.712633,0.085688,0.079608,8.951782,1.076370,,,"BLOCK_K=256,BLOCK_M=16,BLOCK_N=128,GROUP_SIZE_M=4,num_warps=8,num_stages=4"
256,4096,4096,per_tensor,0.928974,0.145340,0.110412,8.413734,1.316346,,,"BLOCK_K=64,BLOCK_M=16,BLOCK_N=128,GROUP_SIZE_M=8,num_warps=4,num_stages=2"
512,4096,4096,per_tensor,1.335073,0.319982,0.136662,9.769191,2.341417,,,"BLOCK_K=64,BLOCK_M=16,BLOCK_N=128,GROUP_SIZE_M=8,num_warps=4,num_stages=2"
1024,4096,4096,per_tensor,2.015042,0.557256,0.230980,8.723885,2.412572,,,"BLOCK_K=64,BLOCK_M=16,BLOCK_N=128,GROUP_SIZE_M=8,num_warps=4,num_stages=2"
1536,4096,4096,per_tensor,2.876043,0.782776,0.298142,9.646541,2.625510,,,"BLOCK_K=64,BLOCK_M=16,BLOCK_N=128,GROUP_SIZE_M=8,num_warps=4,num_stages=2"
2048,4096,4096,per_tensor,3.621316,1.092100,0.392866,9.217684,2.779828,,,"BLOCK_K=64,BLOCK_M=16,BLOCK_N=128,GROUP_SIZE_M=8,num_warps=4,num_stages=2"
