M,K,N,group_size,ref_ms,fp16_ms,triton_ms,speedup,speedup_fp16,max_abs_diff_fp16,max_abs_diff_dequant,best_config
1,4096,4096,per_tensor,0.612283,0.074911,0.047350,12.931017,1.582075,40386148.000000,40386136.000000,
1,4096,1024,per_tensor,0.166178,0.026798,0.043416,3.827567,0.617243,41689748.000000,41689740.000000,
1,4096,14336,per_tensor,2.087188,0.238585,0.066566,31.354943,3.584169,41062540.000000,41062528.000000,
1,14336,4096,per_tensor,2.079463,0.257635,0.152111,13.670690,1.693730,134274016.000000,134274032.000000,
8,4096,4096,per_tensor,0.624609,0.077319,0.047445,13.164824,1.629648,40039776.000000,40039800.000000,
8,4096,1024,per_tensor,0.176263,0.031495,0.047326,3.724433,0.665491,40506504.000000,40506508.000000,
8,4096,14336,per_tensor,2.098727,0.241446,0.068355,30.703523,3.532264,40483844.000000,40483804.000000,
8,14336,4096,per_tensor,2.076912,0.258708,0.150681,13.783544,1.716930,129861344.000000,129861312.000000,
2048,4096,4096,per_tensor,3.552341,1.089931,0.392103,9.059711,2.779703,39494792.000000,39494780.000000,"BLOCK_K=64,BLOCK_M=16,BLOCK_N=128,GROUP_SIZE_M=8,num_warps=4,num_stages=2"
2048,4096,1024,per_tensor,1.225495,0.319242,0.140667,8.712034,2.269492,39954284.000000,39954300.000000,"BLOCK_K=64,BLOCK_M=16,BLOCK_N=128,GROUP_SIZE_M=8,num_warps=4,num_stages=2"
2048,4096,14336,per_tensor,11.880565,3.784227,1.251364,9.494094,3.024083,38523724.000000,38523696.000000,"BLOCK_K=64,BLOCK_M=16,BLOCK_N=128,GROUP_SIZE_M=8,num_warps=4,num_stages=2"
2048,14336,4096,per_tensor,12.790251,3.967237,1.366687,9.358582,2.902814,119862648.000000,119862616.000000,"BLOCK_K=64,BLOCK_M=16,BLOCK_N=128,GROUP_SIZE_M=8,num_warps=4,num_stages=2"
