M,K,N,group_size,ref_ms,fp16_ms,triton_ms,speedup,speedup_fp16,max_abs_diff_fp16,max_abs_diff_dequant,best_config
1,4096,512,per_tensor,0.091386,0.017333,0.042558,2.147339,0.407283,,,
1,4096,1024,per_tensor,0.165439,0.026822,0.042105,3.929219,0.637033,,,
1,4096,2048,per_tensor,0.314474,0.043559,0.047112,6.675101,0.924595,,,
1,4096,4096,per_tensor,0.613093,0.073409,0.048900,12.537786,1.501219,,,
1,4096,8192,per_tensor,1.188993,0.147438,0.050998,23.314633,2.891071,,,
1,4096,14336,per_tensor,2.083874,0.238943,0.067949,30.668070,3.516491,,,
2,4096,512,per_tensor,0.096440,0.017309,0.044346,2.174731,0.390323,,,
2,4096,1024,per_tensor,0.174856,0.030684,0.041604,4.202865,0.737536,,,
2,4096,2048,per_tensor,0.321007,0.046468,0.048113,6.671952,0.965808,,,
2,4096,4096,per_tensor,0.615263,0.076389,0.047755,12.883674,1.599601,,,
2,4096,8192,per_tensor,1.194072,0.147915,0.068235,17.499301,2.167715,,,
2,4096,14336,per_tensor,2.082419,0.234318,0.068879,30.232953,3.401869,,,
4,4096,512,per_tensor,0.097060,0.017667,0.041413,2.343696,0.426598,,,
4,4096,1024,per_tensor,0.175643,0.031376,0.041676,4.214531,0.752860,,,
4,4096,2048,per_tensor,0.322676,0.045896,0.047350,6.814703,0.969285,,,
4,4096,4096,per_tensor,0.613761,0.077081,0.049329,12.442243,1.562591,,,
4,4096,8192,per_tensor,1.189470,0.148654,0.068331,17.407537,2.175506,,,
4,4096,14336,per_tensor,2.087045,0.234413,0.068831,30.321095,3.405611,,,
8,4096,512,per_tensor,0.098515,0.016785,0.047350,2.080564,0.354481,,,
8,4096,1024,per_tensor,0.175500,0.033045,0.047255,3.713925,0.699294,,,
8,4096,2048,per_tensor,0.323391,0.046992,0.046897,6.895780,1.002034,,,
8,4096,4096,per_tensor,0.624132,0.076723,0.047565,13.121805,1.613033,,,
8,4096,8192,per_tensor,1.190495,0.149918,0.068521,17.374043,2.187891,,,
8,4096,14336,per_tensor,2.090359,0.240946,0.068951,30.316736,3.494467,,,
16,4096,512,per_tensor,0.100160,0.017047,0.046706,2.144461,0.364982,,,"BLOCK_K=64,BLOCK_M=16,BLOCK_N=128,GROUP_SIZE_M=8,num_warps=4,num_stages=2"
16,4096,1024,per_tensor,0.178671,0.032949,0.057697,3.096694,0.571074,,,"BLOCK_K=128,BLOCK_M=8,BLOCK_N=64,GROUP_SIZE_M=4,num_warps=4,num_stages=4"
16,4096,2048,per_tensor,0.327492,0.046229,0.052786,6.204155,0.875790,,,"BLOCK_K=128,BLOCK_M=16,BLOCK_N=64,GROUP_SIZE_M=4,num_warps=4,num_stages=4"
16,4096,4096,per_tensor,0.630426,0.077534,0.056577,11.142857,1.370417,,,"BLOCK_K=128,BLOCK_M=8,BLOCK_N=64,GROUP_SIZE_M=4,num_warps=4,num_stages=4"
16,4096,8192,per_tensor,1.193452,0.139689,0.053072,22.487421,2.632075,,,"BLOCK_K=128,BLOCK_M=8,BLOCK_N=64,GROUP_SIZE_M=4,num_warps=4,num_stages=4"
16,4096,14336,per_tensor,2.096343,0.237441,0.053072,39.500000,4.473944,,,"BLOCK_K=128,BLOCK_M=16,BLOCK_N=64,GROUP_SIZE_M=4,num_warps=4,num_stages=4"
32,4096,512,per_tensor,0.103617,0.017452,0.046754,2.216216,0.373279,,,"BLOCK_K=64,BLOCK_M=32,BLOCK_N=128,GROUP_SIZE_M=8,num_warps=8,num_stages=2"
32,4096,1024,per_tensor,0.179744,0.022411,0.054455,3.300788,0.411559,,,"BLOCK_K=128,BLOCK_M=8,BLOCK_N=64,GROUP_SIZE_M=4,num_warps=4,num_stages=4"
32,4096,2048,per_tensor,0.326824,0.045276,0.055623,5.875697,0.813973,,,"BLOCK_K=128,BLOCK_M=16,BLOCK_N=64,GROUP_SIZE_M=4,num_warps=4,num_stages=4"
32,4096,4096,per_tensor,0.624752,0.075173,0.058222,10.730549,1.291155,,,"BLOCK_K=128,BLOCK_M=16,BLOCK_N=64,GROUP_SIZE_M=4,num_warps=4,num_stages=4"
32,4096,8192,per_tensor,1.196122,0.138807,0.054431,21.975033,2.550153,,,"BLOCK_K=128,BLOCK_M=16,BLOCK_N=64,GROUP_SIZE_M=4,num_warps=4,num_stages=4"
32,4096,14336,per_tensor,2.125478,0.240993,0.079370,26.779513,3.036347,,,"BLOCK_K=256,BLOCK_M=16,BLOCK_N=128,GROUP_SIZE_M=4,num_warps=8,num_stages=4"
64,4096,512,per_tensor,0.113225,0.017524,0.054574,2.074705,0.321101,,,"BLOCK_K=128,BLOCK_M=8,BLOCK_N=64,GROUP_SIZE_M=4,num_warps=4,num_stages=4"
64,4096,1024,per_tensor,0.181746,0.029254,0.053501,3.397059,0.546791,,,"BLOCK_K=128,BLOCK_M=8,BLOCK_N=64,GROUP_SIZE_M=4,num_warps=4,num_stages=4"
64,4096,2048,per_tensor,0.337791,0.047946,0.053310,6.336315,0.899374,,,"BLOCK_K=128,BLOCK_M=8,BLOCK_N=64,GROUP_SIZE_M=4,num_warps=4,num_stages=4"
64,4096,4096,per_tensor,0.630546,0.077057,0.053930,11.691866,1.428824,,,"BLOCK_K=128,BLOCK_M=16,BLOCK_N=64,GROUP_SIZE_M=4,num_warps=4,num_stages=4"
64,4096,8192,per_tensor,1.234317,0.145793,0.081944,15.062846,1.779168,,,"BLOCK_K=128,BLOCK_M=16,BLOCK_N=64,GROUP_SIZE_M=4,num_warps=4,num_stages=4"
64,4096,14336,per_tensor,2.130246,0.239754,0.109386,19.474499,2.191805,,,"BLOCK_K=64,BLOCK_M=16,BLOCK_N=128,GROUP_SIZE_M=8,num_warps=4,num_stages=2"
