M,K,N,group_size,ref_ms,triton_ms,speedup,best_config
1,1024,2048,per_tensor,0.088906,0.055230,1.609756,"BLOCK_K=128,BLOCK_M=8,BLOCK_N=64,GROUP_SIZE_M=4,num_warps=4,num_stages=4"
1,1024,1024,per_tensor,0.061321,0.054383,1.127576,"BLOCK_K=128,BLOCK_M=8,BLOCK_N=64,GROUP_SIZE_M=4,num_warps=4,num_stages=4"
1,1152,1024,per_tensor,0.061870,0.054348,1.138408,"BLOCK_K=128,BLOCK_M=8,BLOCK_N=64,GROUP_SIZE_M=4,num_warps=4,num_stages=4"
1,1152,256,per_tensor,0.061667,0.048256,1.277915,"BLOCK_K=64,BLOCK_M=16,BLOCK_N=128,GROUP_SIZE_M=8,num_warps=4,num_stages=2"
1,2048,2048,per_tensor,0.163043,0.054669,2.982338,"BLOCK_K=128,BLOCK_M=8,BLOCK_N=64,GROUP_SIZE_M=4,num_warps=4,num_stages=4"
1,2048,512,per_tensor,0.069082,0.047553,1.452745,"BLOCK_K=64,BLOCK_M=32,BLOCK_N=128,GROUP_SIZE_M=8,num_warps=8,num_stages=2"
1,2048,1024,per_tensor,0.089431,0.054860,1.630161,"BLOCK_K=128,BLOCK_M=8,BLOCK_N=64,GROUP_SIZE_M=4,num_warps=4,num_stages=4"
1,3072,3072,per_tensor,0.351071,0.054491,6.442792,"BLOCK_K=128,BLOCK_M=8,BLOCK_N=64,GROUP_SIZE_M=4,num_warps=4,num_stages=4"
1,3072,768,per_tensor,0.099945,0.048888,2.044379,"BLOCK_K=64,BLOCK_M=16,BLOCK_N=128,GROUP_SIZE_M=8,num_warps=4,num_stages=2"
1,3072,1024,per_tensor,0.127065,0.054729,2.321716,"BLOCK_K=128,BLOCK_M=8,BLOCK_N=64,GROUP_SIZE_M=4,num_warps=4,num_stages=4"
1,4096,4096,per_tensor,0.609136,0.056994,10.687722,"BLOCK_K=128,BLOCK_M=8,BLOCK_N=64,GROUP_SIZE_M=4,num_warps=4,num_stages=4"
1,4096,1024,per_tensor,0.164568,0.055742,2.952310,"BLOCK_K=128,BLOCK_M=8,BLOCK_N=64,GROUP_SIZE_M=4,num_warps=4,num_stages=4"
1,5120,5120,per_tensor,0.940406,0.057459,16.366598,"BLOCK_K=128,BLOCK_M=8,BLOCK_N=64,GROUP_SIZE_M=4,num_warps=4,num_stages=4"
1,5120,1280,per_tensor,0.248396,0.057030,4.355560,"BLOCK_K=128,BLOCK_M=8,BLOCK_N=64,GROUP_SIZE_M=4,num_warps=4,num_stages=4"
1,5376,4096,per_tensor,0.794041,0.059593,13.324465,"BLOCK_K=128,BLOCK_M=8,BLOCK_N=64,GROUP_SIZE_M=4,num_warps=4,num_stages=4"
1,5376,2048,per_tensor,0.406253,0.060618,6.701868,"BLOCK_K=128,BLOCK_M=8,BLOCK_N=64,GROUP_SIZE_M=4,num_warps=4,num_stages=4"
1,1024,3072,per_tensor,0.125504,0.055313,2.268966,"BLOCK_K=128,BLOCK_M=8,BLOCK_N=64,GROUP_SIZE_M=4,num_warps=4,num_stages=4"
1,3072,1024,per_tensor,0.127268,0.054193,2.348438,"BLOCK_K=128,BLOCK_M=8,BLOCK_N=64,GROUP_SIZE_M=4,num_warps=4,num_stages=4"
1,1152,6912,per_tensor,0.298071,0.054181,5.501430,"BLOCK_K=128,BLOCK_M=8,BLOCK_N=64,GROUP_SIZE_M=4,num_warps=4,num_stages=4"
1,6912,1152,per_tensor,0.299466,0.075269,3.978619,"BLOCK_K=128,BLOCK_M=8,BLOCK_N=64,GROUP_SIZE_M=4,num_warps=4,num_stages=4"
1,2048,8192,per_tensor,0.605452,0.054061,11.199338,"BLOCK_K=128,BLOCK_M=8,BLOCK_N=64,GROUP_SIZE_M=4,num_warps=4,num_stages=4"
1,8192,2048,per_tensor,0.620377,0.088191,7.034469,"BLOCK_K=128,BLOCK_M=8,BLOCK_N=64,GROUP_SIZE_M=4,num_warps=4,num_stages=4"
1,2048,16384,per_tensor,1.194966,0.055432,21.557204,"BLOCK_K=128,BLOCK_M=8,BLOCK_N=64,GROUP_SIZE_M=4,num_warps=4,num_stages=4"
1,16384,2048,per_tensor,1.202321,0.170517,7.051035,"BLOCK_K=128,BLOCK_M=8,BLOCK_N=64,GROUP_SIZE_M=4,num_warps=4,num_stages=4"
1,2048,11008,per_tensor,0.814354,0.055861,14.578105,"BLOCK_K=128,BLOCK_M=8,BLOCK_N=64,GROUP_SIZE_M=4,num_warps=4,num_stages=4"
1,11008,2048,per_tensor,0.823605,0.116134,7.091870,"BLOCK_K=128,BLOCK_M=8,BLOCK_N=64,GROUP_SIZE_M=4,num_warps=4,num_stages=4"
1,3072,8192,per_tensor,0.899148,0.055408,16.227625,"BLOCK_K=128,BLOCK_M=8,BLOCK_N=64,GROUP_SIZE_M=4,num_warps=4,num_stages=4"
1,8192,3072,per_tensor,0.899601,0.088608,10.152563,"BLOCK_K=128,BLOCK_M=8,BLOCK_N=64,GROUP_SIZE_M=4,num_warps=4,num_stages=4"
